AÑO;MES;DIA;RGLO05;RGLO06;RGLO07;RGLO08;RGLO09;RGLO10;RGLO11;RGLO12;RGLO13;RGLO14;RGLO15;RGLO16;RGLO17;RGLO18;RGLO19;RGLO20
2008;1;1;0;0;0;11;63;116;156;175;176;155;115;56;7;0;0;0
2008;1;2;0;0;0;11;51;91;80;46;27;17;6;13;6;0;0;0
2008;1;3;0;0;0;4;21;33;36;42;42;43;40;16;5;0;0;0
2008;1;4;0;0;0;8;43;93;136;170;171;155;126;65;10;0;0;0
2008;1;5;0;0;0;7;37;68;141;167;172;156;69;53;9;0;0;0
2008;1;6;0;0;0;11;62;116;147;176;169;154;105;60;11;0;0;0
2008;1;7;0;0;0;13;64;112;150;170;165;151;100;61;10;0;0;0
2008;1;9;0;0;0;7;28;67;109;85;116;94;89;37;4;0;0;0
2008;1;10;0;0;0;3;12;23;65;89;88;98;98;53;8;0;0;0
2008;1;11;0;0;0;10;59;112;155;176;177;151;102;54;9;0;0;0
2008;1;12;0;0;0;14;71;134;167;185;188;163;125;71;14;0;0;0
2008;1;13;0;0;0;16;72;124;164;186;187;165;124;69;13;0;0;0
2008;1;14;0;0;0;17;78;76;113;86;159;119;38;20;4;0;0;0
2008;1;15;0;0;0;15;72;124;161;187;179;126;91;51;15;0;0;0
2008;1;16;0;0;0;7;48;86;102;100;115;159;123;64;11;0;0;0
2008;1;17;0;0;0;10;57;127;163;184;185;151;103;41;12;0;0;0
2008;1;18;0;0;0;4;61;125;164;182;180;161;123;70;15;0;0;0
2008;1;19;0;0;0;18;72;124;162;183;182;162;125;72;16;0;0;0
2008;1;20;0;0;0;20;75;125;165;187;186;167;129;73;16;0;0;0
2008;1;21;0;0;0;20;77;124;170;189;186;158;123;66;15;0;0;0
2008;1;22;0;0;0;19;76;130;168;190;188;163;128;73;18;0;0;0
2008;1;23;0;0;0;17;71;122;161;184;181;167;127;72;16;0;0;0
2008;1;24;0;0;0;20;51;90;151;197;181;169;126;69;13;0;0;0
2008;1;25;0;0;0;21;75;128;168;197;197;176;130;72;16;0;0;0
2008;1;26;0;0;0;27;69;107;126;210;171;139;106;76;10;0;0;0
2008;1;27;0;0;0;2;17;44;68;116;181;172;132;76;18;0;0;0
2008;1;28;0;0;0;26;86;141;181;204;204;181;140;83;22;0;0;0
2008;1;29;0;0;1;23;81;134;174;198;196;174;134;79;20;0;0;0
2008;1;30;0;0;1;24;86;139;180;203;201;180;133;75;18;0;0;0
2008;1;31;0;0;0;17;70;110;172;113;125;115;69;26;17;0;0;0
2008;2;1;0;0;1;23;79;134;176;198;198;175;135;80;21;0;0;0
2008;2;2;0;0;0;25;96;124;187;209;222;184;118;54;8;0;0;0
2008;2;3;0;0;0;11;46;133;130;133;211;169;134;79;26;0;0;0
